2018.11.03 17:26:23.174 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='96' 
2018.11.03 17:26:23.178 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(96,'4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4')
2018.11.03 17:26:23.197 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.201 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='97' 
2018.11.03 17:26:23.209 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(97,'3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3')
2018.11.03 17:26:23.225 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.229 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='98' 
2018.11.03 17:26:23.234 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(98,'7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7')
2018.11.03 17:26:23.243 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Select EmployeeID from EnglishClassDBtest.[dbo].[Table_EmployeeBasic]
2018.11.03 17:26:23.260 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.264 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_02] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_02].EmployeeID='88' 
2018.11.03 17:26:23.272 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_02] Values(88,'6','6','休','6','6','休','6','6','6','休','6','6','休','6','6','6','休','6','6','休','6','6','6','休','6','6','休','6')
2018.11.03 17:26:23.292 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.298 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_02] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_02].EmployeeID='89' 
2018.11.03 17:26:23.303 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_02] Values(89,'3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3')
2018.11.03 17:26:23.325 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.333 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_02] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_02].EmployeeID='90' 
2018.11.03 17:26:23.338 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_02] Values(90,'3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3')
2018.11.03 17:26:23.357 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.361 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_02] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_02].EmployeeID='91' 
2018.11.03 17:26:23.366 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_02] Values(91,'3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3')
